# Am-241     Ba-133       Cs-137       Co-60      Eu-152
       0	       0	       0	       0	       0
       0	       0	       0	       0	       0
       0	       0	       0	       0	       0
       0	       0	       0	       0	       0
       0	       0	       0	       0	       0
       0	       0	       0	       0	       0
       0	       0	       0	       0	       0
       0	       0	       0	       0	       0
       0	       0	       0	       0	       0
       0	       0	       0	       0	       0
       0	       0	       0	       0	       0
       0	       2	       0	       1	      23
      46	     217	     450	     638	    4066
    3677	   20458	    6544	    2757	   47910
    1408	    9873	    1760	     740	   16318
     411	    2554	     736	     331	    5691
     407	    2507	     736	     396	    5836
     428	    2783	     789	     421	    6607
     509	    3171	     944	     441	    7573
     574	    3462	    1041	     505	    8335
     649	    3785	    1165	     565	    9025
     674	    4029	    1240	     588	    9351
     730	    4284	    1285	     571	    9783
     746	    4367	    1379	     670	   10171
     755	    4360	    1366	     661	   10259
     758	    4337	    1370	     661	   10208
     766	    4315	    1378	     716	   10339
     772	    4131	    1310	     648	   10082
     777	    4135	    1318	     666	   10070
     717	    4057	    1368	     668	    9743
     762	    3970	    1285	     632	    9575
     689	    3941	    1248	     687	    9526
     663	    3810	    1330	     684	    9298
     667	    3750	    1268	     677	    9264
     672	    3629	    1277	     662	    8991
     617	    3529	    1279	     680	    8916
     623	    3471	    1219	     661	    8730
     614	    3417	    1300	     622	    8622
     606	    3326	    1210	     659	    8573
     593	    3345	    1229	     663	    8361
     566	    3244	    1253	     646	    8295
     580	    3217	    1173	     664	    8126
     583	    3224	    1187	     633	    8136
     519	    3101	    1107	     672	    8079
     531	    3031	    1182	     596	    7748
     533	    2999	    1189	     612	    7715
     510	    2971	    1159	     581	    7637
     523	    2958	    1176	     628	    7521
     496	    3009	    1163	     590	    7440
     538	    2919	    1135	     620	    7539
     470	    2841	    1105	     607	    7201
     487	    2763	    1121	     621	    7333
     538	    2864	    1096	     622	    7213
     490	    2815	    1094	     587	    6960
     480	    2736	    1088	     638	    7040
     513	    2656	    1134	     618	    7028
     476	    2690	    1060	     598	    7036
     442	    2695	    1091	     563	    6810
     458	    2637	    1043	     595	    6800
     454	    2527	    1062	     574	    6729
     437	    2528	    1018	     605	    6762
     436	    2565	    1034	     554	    6575
     452	    2386	    1037	     536	    6542
     453	    2412	    1033	     563	    6465
     431	    2403	    1059	     622	    6470
     421	    2325	    1042	     591	    6381
     442	    2313	    1012	     570	    6372
     400	    2434	    1038	     556	    6380
     405	    2369	    1037	     570	    6227
     428	    2310	    1035	     585	    6348
     412	    2247	    1017	     551	    6236
     407	    2225	    1048	     521	    6142
     409	    2196	    1006	     563	    6346
     412	    2236	    1020	     539	    6156
     424	    2213	    1004	     588	    6051
     414	    2181	     999	     517	    6134
     412	    2098	     972	     564	    6011
     396	    2032	     995	     579	    6028
     379	    2132	    1017	     507	    6060
     363	    2154	     958	     570	    5995
     358	    2110	     914	     531	    6004
     389	    1954	     974	     552	    5861
     365	    2049	     951	     589	    5894
     374	    2024	    1006	     596	    5844
     357	    2038	     996	     507	    5801
     374	    2072	     976	     553	    5754
     388	    1970	     941	     576	    5848
     347	    1942	     963	     560	    5882
     377	    1936	     964	     539	    5933
     345	    1992	     972	     558	    5644
     383	    1991	     925	     515	    5732
     365	    2001	     930	     515	    5669
     399	    1975	    1010	     530	    5564
     352	    2139	     990	     549	    5548
     364	    2050	     899	     535	    5693
     348	    2000	     957	     506	    5721
     371	    2008	     953	     540	    5743
     360	    2060	     862	     525	    5609
     335	    2131	     975	     586	    5629
     298	    2110	     968	     557	    5745
     344	    2200	     920	     577	    5687
     343	    2310	     951	     516	    5677
     332	    2488	     960	     548	    5663
     341	    3641	    1002	     508	    5678
     353	    5481	    1023	     547	    5764
     370	    7215	    1029	     505	    5714
     365	    6472	    1103	     487	    5633
     305	    3922	    1151	     543	    5763
     337	    2213	    1626	     497	    5938
     347	    1484	    1969	     510	    5857
     328	    1413	    1948	     513	    6019
     344	    1392	    1475	     561	    5998
     286	    1451	    1027	     556	    5916
     346	    1446	     822	     514	    5904
     353	    1416	     860	     529	    6014
     327	    1461	     830	     547	    6053
     347	    1520	     837	     531	    6307
     328	    1687	     794	     543	    6554
     312	    2450	     807	     497	    6641
     339	    4014	     831	     491	    6836
     367	    4856	     784	     464	    7042
     362	    3881	     849	     506	    7388
     317	    2733	     894	     504	    7402
     331	    2169	    1059	     512	    7443
     323	    1733	    1355	     498	    8075
     340	    1273	    1466	     537	    8248
     329	    1018	    1204	     503	    8405
     380	     978	    1049	     493	    8637
     384	     891	    1014	     539	    8634
     347	     928	     969	     515	    9055
     334	     958	     796	     536	    9180
     330	     912	     763	     531	    9361
     329	     865	     684	     506	    9482
     309	     901	     730	     522	   10764
     331	     865	     737	     474	   15634
     326	     883	     716	     490	   27806
     380	     887	     770	     533	   43090
     348	     943	     740	     483	   55859
     331	     898	     752	     516	   60487
     372	     879	     680	     525	   45652
     369	     902	     750	     464	   21618
     375	     922	     714	     505	    8124
     373	     880	     727	     554	    4623
     370	     896	     724	     474	    4107
     402	     870	     729	     498	    4205
     442	     911	     676	     455	    4457
     417	     899	     736	     524	    4647
     433	     887	     775	     496	    4867
     451	     855	     740	     498	    5087
     468	     882	     719	     522	    5010
     467	     928	     719	     494	    4389
     479	     944	     730	     516	    4055
     469	     935	     715	     514	    4092
     450	     962	     706	     477	    4203
     475	     901	     699	     540	    5798
     428	     947	     685	     497	   11091
     501	     962	     735	     499	   21363
     484	     975	     719	     503	   27039
     494	     922	     786	     482	   20872
     511	     939	     728	     499	   11251
     544	     990	     772	     495	    8134
     576	     953	     695	     501	    9034
     539	     942	     745	     469	    8048
     554	     990	     760	     513	    4891
     625	     967	     744	     507	    2778
     601	     938	     753	     507	    2083
